호선,환승역명,환승노선,환승 소요시간(초),빠른환승
1,서울역,1→4호선,2분 13초,상행 10-4
1,서울역,1→4호선,2분 13초,하행 1-2
1,시청,1→2호선,1분 25초,상행 10-4
1,시청,1→2호선,1분 25초,하행 1-2
1,종로3가,1→3호선,1분 39초,상행 6-1
1,종로3가,1→3호선,1분 39초,하행 6-2
1,종로3가,1→5호선,4분 20초,상행 6-1
1,종로3가,1→5호선,4분 20초,하행 4-2
1,동대문,1→4호선,2분 42초,상행 9-3
1,동대문,1→4호선,2분 42초,하행 1-3
1,동묘앞,1→6호선,1분 20초,상행 9-2
1,동묘앞,1→6호선,1분 20초,하행 2-3
1,신설동,1→2호선,2분 13초,상행 9-4
1,신설동,1→2호선,2분 13초,하행 2-1
1,신설동,1→우이경전철,1분 48초,상행 10-1
1,신설동,1→우이경전철,1분 48초,하행 2-1
1,청량리,1→국철,2분 17초,상행 1-1
1,청량리,1→국철,2분 17초,하행 10-4
2,시청,2→1호선,1분 25초,내선 10-4
2,시청,2→1호선,1분 25초,외선 1-2
2,신설동,2→1호선,2분 13초,모든노선 1-1
2,신설동,2→우이경전철,3분 48초,모든노선 1-1
2,을지로3가,2→3호선,2분 5초,내선 1-1
2,을지로3가,2→3호선,2분 5초,외선 10-4
2,을지로4가,2→5호선,1분 5초,내선 1-1
2,을지로4가,2→5호선,1분 5초,외선 10-4
2,동대문역사문화공원,2→4호선,38초,내선 9-2
2,동대문역사문화공원,2→4호선,38초,외선 2-4
2,동대문역사문화공원,2→5호선,3분 15초,내선 8-1
2,동대문역사문화공원,2→5호선,3분 15초,외선 3-4
2,신당,2→6호선,3분 22초,내선 10-4
2,신당,2→6호선,3분 22초,외선 1-1
2,왕십리,2→분당선,1분 23초,내선 3-1
2,왕십리,2→분당선,1분 23초,외선 8-4
2,왕십리,2→5호선,1분 12초,내선 6-1
2,왕십리,2→5호선,1분 12초,외선 5-4
2,왕십리,2→경의중앙선,41초,내선 3-1
2,왕십리,2→경의중앙선,41초,외선 8-4
2,건대입구,2→7호선,1분 5초,내선 3-2
2,건대입구,2→7호선,1분 5초,외선 7-2(부평) 8-2(장암)
2,잠실,2→8호선,2분 39초,내선 10-4
2,잠실,2→8호선,2분 39초,외선 1-1
2,종합운동장,2→9호선,78초,내외선 3-4
2,선릉,2→분당선,1분 8초,수원 6-2
2,선릉,2→분당선,1분 8초,6-2 또는 5-2
2,강남,2→신분당선,2분 58초,내선 6-2
2,강남,2→신분당선,2분 58초,외선 5-1
2,교대,2→3호선,1분 3초,내선 1-1
2,교대,2→3호선,1분 3초,외선 10-4
2,사당,2→4호선,1분 2초,내선 6-1
2,사당,2→4호선,1분 2초,외선 5-3
2,대림,2→7호선,3분 50초,내선 7-4
2,대림,2→7호선,3분 50초,외선 4-1
2,신도림,2→지선,1분 8초,내선 6-2 또는 5-1
2,신도림,2→지선,1분 8초,외선 5-1
2,신도림,2→국철,1분 8초,내선 4-2
2,신도림,2→국철,1분 8초,외선 6-4 또는 7-3
2,영등포구청,2→5호선,1분 32초,내선 7-4
2,영등포구청,2→5호선,1분 32초,외선 2-3
2,당산,2→9호선,1분 28초,내선 8-1
2,당산,2→9호선,1분 28초,외선 4-1
2,합정,2→6호선,1분 9초,내선 9-2
2,합정,2→6호선,1분 9초,외선 2-2
2,홍대입구,2→공항철도,4분 56초,내선 3-2
2,홍대입구,2→공항철도,4분 56초,외선 8-2
2,홍대입구,2→경의중앙선,4분 14초,내선 3-3
2,홍대입구,2→경의중앙선,4분 14초,외선 8-2
2,충정로,2→5호선,2분 57초,외선 4-1
2,충정로,2→5호선,2분 57초,내선 7-3
3,종로3가,3→1호선,1분 39초,상행 9-1 또는 10-4
3,종로3가,3→1호선,1분 39초,하행 1-1 또는 2-4
3,종로3가,3→5호선,1분 38초,상행 2-3
3,종로3가,3→5호선,1분 38초,하행 9-2
3,을지로3가,3→2호선,2분 5초,상행 7-1(내선) 4-1(외선)
3,을지로3가,3→2호선,2분 5초,하행 4-4(내선) 7-2(외선)
3,교대,3→2호선,1분 3초,상행 3-2(내선) 7-4(외선)
3,교대,3→2호선,1분 3초,하행 8-4(내선) 4-1(외선)
3,양재,3→신분당선,1분 18초,상행 5-4
3,양재,3→신분당선,1분 18초,하행 6-1
3,연신내,3→6호선,2분 31초,상행 5-1
3,연신내,3→6호선,2분 31초,하행 6-3
3,불광,3→6호선,2분,상행 1-1
3,불광,3→6호선,2분,하행 10-4
3,충무로,3→4호선,15초,상행 4-4
3,충무로,3→4호선,15초,하행 8-1 또는 8-4
3,약수,3→6호선,1분 49초,상행 4-3
3,약수,3→6호선,1분 49초,하행 7-1
3,옥수,3→국철,2분 10초,상행 9-4
3,옥수,3→국철,2분 10초,하행 1-4
3,고속터미널,3→7호선,2분 21초,상행 7-2
3,고속터미널,3→7호선,2분 21초,하행 7-3
3,고속터미널,3→9호선,2분 10초,상행 2-3
3,고속터미널,3→9호선,2분 10초,하행 9-2
3,도곡,3→분당선,1분 5초,상행 6-1
3,도곡,3→분당선,1분 5초,하행 6-2
3,수서,3→분당선,1분 17초,상행 3-1
3,수서,3→분당선,1분 17초,하행 8-4
3,가락시장,3→8호선,30초,상행 9-4
3,가락시장,3→8호선,30초,하행 2-1
3,오금,3→5호선,55초,상하행 9-3
4,서울역,4→1호선,2분 13초,상행 1-1
4,서울역,4→1호선,2분 13초,하행 10-4
4,서울역,4→공항철도,3분 7초,상행 3-3
4,서울역,4→공항철도,3분 7초,하행 8-1
4,동대문,4→1호선,2분 42초,상행 3-1
4,동대문,4→1호선,2분 42초,하행 3-3
4,동대문역사문화공원,4→2호선,38초,상행 1-1
4,동대문역사문화공원,4→2호선,38초,하행 10-4
4,동대문역사문화공원,4→5호선,1분 30초,상행 9-2
4,동대문역사문화공원,4→5호선,1분 30초,하행 2-3
4,사당,4→2호선,1분 2초,상행(내선) 4-1 외선(10-4)
4,사당,4→2호선,1분 2초,하행(내선) 7-3 외선(1-1)
4,충무로,4→3호선,15초,상행 5-1
4,충무로,4→3호선,15초,하행 7-1
4,노원,4→7호선,3분 52초,상행 10-4
4,노원,4→7호선,3분 52초,하행 1-1
4,창동,4→국철,1분 10초,상행 3-4
4,창동,4→국철,1분 10초,하행 8-1
4,성신여대입구,4→우이경전철,6초,상행 5-4
4,성신여대입구,4→우이경전철,6초,하행 5-2
4,이촌,4→경의중앙선,1분 5초,상행 4-2
4,이촌,4→경의중앙선,1분 5초,하행 7-2
4,삼각지,4→6호선,2분 10초,상행 1-1
4,삼각지,4→6호선,2분 10초,하행 10-4
4,동작,4→9호선,3분 25초,상행 6-3
4,동작,4→9호선,3분 25초,하행 5-3
4,이수,4→7호선,2분 23초,상행 10-4
4,이수,4→7호선,2분 23초,하행 1-1
